pair,text,image
dog,perro,
dog,dog,
cat,gato,
cat,cat,
house,casa,
house,house,
book,libro,
book,book,
water,agua,
water,water,
sun,sol,
sun,sun,
moon,luna,
moon,moon,
tree,arbol,
tree,tree,
bread,pan,
bread,bread,
milk,leche,
milk,milk,
